:START_ID,:END_ID,:TYPE
obj_1e78f83802082ac1dfa4aef4ef0b670c,obj_ccf92b644a92663d4d0bc42f3804974b,PART_OF
obj_e3e694d871ab1a6635ea50a7154dcbdb,obj_1e78f83802082ac1dfa4aef4ef0b670c,PART_OF
obj_085d029287cca92b11734547fe201221,obj_e3e694d871ab1a6635ea50a7154dcbdb,PART_OF
obj_11b2d63ea176a2b87191c1e903fccf70,obj_085d029287cca92b11734547fe201221,PART_OF
obj_dc710ab2e0d6cd527cea52522b933885,obj_085d029287cca92b11734547fe201221,PART_OF
obj_30bf7da142b7d2af8dba5ab607a0c349,obj_085d029287cca92b11734547fe201221,PART_OF
obj_e54a940f0ca3ce3b6c5e0411304b6b93,obj_085d029287cca92b11734547fe201221,PART_OF
obj_38ea81b1d12d9b52ba2b9c77beb647ba,obj_085d029287cca92b11734547fe201221,PART_OF
obj_9d40bd7ae1462cdd1629850ed49083bd,obj_085d029287cca92b11734547fe201221,PART_OF
obj_d8c036fbdcfe321b5813ecabd1a71b8e,obj_085d029287cca92b11734547fe201221,PART_OF
obj_119ed8982108483b62b7b2c13b55b0e4,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5610d34fb50977490bcda9eb67c51595,obj_085d029287cca92b11734547fe201221,PART_OF
obj_3fede2e8a70ee03500f343c9006f0f0e,obj_085d029287cca92b11734547fe201221,PART_OF
obj_1492ad2fc9072e0d5084e0077d90bcc2,obj_085d029287cca92b11734547fe201221,PART_OF
obj_a20a431a2dc2fd82d1383f68611a3de0,obj_085d029287cca92b11734547fe201221,PART_OF
obj_7905b57e4bfacdafd2ded2f30c9e004a,obj_085d029287cca92b11734547fe201221,PART_OF
obj_dcd715e7e1ad9b6adf6908cef8dfcaf1,obj_085d029287cca92b11734547fe201221,PART_OF
obj_8dad7db97aba216b1b04dc652751e1c9,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5f95ed3122723647201944347cd7138f,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5436fb4960f6a505257f9024b222227f,obj_085d029287cca92b11734547fe201221,PART_OF
obj_5436fb4960f6a505257f9024b222227f,obj_085d029287cca92b11734547fe201221,ISOLATED_BY
obj_a15292af362152358f397142b94587a3,obj_085d029287cca92b11734547fe201221,PART_OF
obj_a15292af362152358f397142b94587a3,obj_085d029287cca92b11734547fe201221,ISOLATED_BY
obj_b8c8aa6466bf0d4bcea7028175226bb4,obj_085d029287cca92b11734547fe201221,PART_OF
